hpcd,mdc2,value
20034,5,8418
31341,5,7385
30012,5,6474
30127,6,6162
30465,5,6085
2999,2,5946
20112,5,5876
30120,6,5783
20123,6,5551
20108,6,5542
20052,6,5409
20043,6,5380
10056,6,5179
30120,5,5155
10024,6,5108
10031,6,4944
30364,6,4941
20040,6,4889
10013,6,4863
10055,6,4840
20078,6,4785
20057,5,4783
10058,6,4692
30883,6,4593
10048,6,4541
20146,6,4521
10075,6,4468
10033,6,4334
30339,5,4317
20122,6,4302
10046,6,4273
2909,2,4233
30281,6,4231
20003,6,4221
20044,6,4213
10023,6,4150
20012,6,4150
10066,6,4149
30538,6,4139
30914,6,4115
20036,6,4100
20134,5,4082
944,6,4079
10047,6,4054
1801,6,4046
20123,5,4040
20076,6,4039
10026,6,4012
20127,6,3951
20041,6,3935
31157,6,3912
30249,5,3880
30547,6,3879
10025,6,3870
10061,6,3819
20060,5,3819
30763,6,3805
1348,4,3797
30005,6,3796
30915,6,3777
30030,6,3766
20085,6,3754
20030,6,3712
10012,6,3687
30373,6,3687
2496,6,3649
20117,6,3593
20053,6,3584
20047,6,3578
1577,6,3562
30488,5,3557
20048,6,3544
20024,6,3534
20079,6,3531
10020,6,3527
2798,2,3496
1326,2,3475
20023,6,3468
10034,6,3443
31447,5,3443
20152,6,3442
10035,6,3434
20081,6,3433
2749,6,3425
20151,6,3424
20083,6,3415
10028,6,3413
10018,6,3411
31138,5,3391
10054,6,3386
20055,5,3386
3091,2,3367
20128,6,3358
20008,6,3349
20106,6,3349
10032,6,3348
20138,6,3339
10005,6,3328
10007,6,3327
20137,6,3284
30533,6,3279
20082,6,3276
20114,6,3262
10019,6,3256
20050,6,3251
20089,6,3245
30835,6,3245
20010,6,3237
10021,6,3228
30788,6,3220
10053,6,3213
20055,6,3208
20026,6,3206
31287,6,3203
20115,6,3189
20006,6,3184
30062,6,3175
10065,6,3162
10045,6,3148
10078,6,3146
30796,6,3143
90101,6,3135
31050,5,3134
30387,6,3124
30231,6,3122
20152,5,3112
20016,6,3110
30172,6,3108
30044,6,3099
30330,6,3094
90198,5,3091
31395,12,3081
10029,6,3076
