hpcd,mdc6,value
30747,40040,723
10037,20110,722
30239,110280,722
10077,40040,721
30995,20110,721
10034,12002x,718
10053,40040,718
20012,40040,718
10066,60050,717
20043,60010,717
20117,130030,715
30503,30000,715
20048,40040,714
30499,20110,714
20018,50050,712
20044,60100,712
20062,50050,712
20040,60035,711
31241,20110,710
30138,40040,709
30902,140010,709
31253,40040,709
31341,110280,708
90201,50070,708
1859,20110,707
10022,20110,706
20041,60010,705
31018,50050,705
30325,20110,704
31179,20110,704
30318,10060,703
30880,40040,703
30373,60220,702
20001,20110,701
30533,20110,700
20052,90010,699
30330,50050,699
2976,20110,698
31004,50050,698
20112,04026x,697
30127,60040,697
10072,40040,696
20021,50050,696
30364,60020,696
31025,40040,694
544,60235,693
90200,50050,693
20083,50050,692
261,10230,691
20052,60020,691
10016,100000,691
2899,110280,690
30991,20110,690
31330,40040,690
20109,50050,689
30989,20110,689
1213,60100,688
10013,20110,688
10047,20110,688
20067,40040,688
20078,03001x,688
30465,14031x,688
2264,70470,687
20022,40040,687
30002,40040,687
30003,50050,687
10081,40040,686
30005,60100,686
10053,50050,684
31146,60100,684
544,60220,683
10034,20110,683
20068,40040,683
10009,40040,682
20108,90010,682
20126,40040,682
20128,60100,682
30547,50050,682
30760,20110,682
31345,12002x,680
31460,40040,680
31033,10000,680
10046,20110,678
20036,60100,677
30115,40040,677
30788,40000,677
2321,20110,676
20084,20110,676
1314,30000,675
10052,40040,674
30565,120060,673
90082,20110,673
90169,70230,673
10027,20110,671
20011,40040,671
20152,50050,671
20031,40040,669
30740,70343,668
30017,40040,667
20057,20110,666
30201,40040,666
20040,60040,665
30058,20110,665
30095,60100,665
30662,50050,664
1136,11012x,663
10068,40040,663
10047,40040,662
20078,60010,662
31142,120060,662
20054,50050,661
20102,40040,661
1677,50050,658
20026,90010,658
20122,20110,658
30583,40040,658
31088,40040,658
580,10060,657
20040,40040,657
30961,20110,656
30061,20110,653
10065,90010,651
10004,40040,650
20111,20110,650
90092,50050,650
2405,140010,648
10007,12002x,648
3124,50050,647
10013,50050,647
20003,40040,646
30030,60100,645
20030,50050,642
30470,50050,642
31162,130030,641
10013,110280,640
20151,10060,638
10063,40040,637
10078,60050,637
90041,70343,637
10045,40040,635
20073,50050,634
20153,40040,634
1348,40000,634
2393,11012x,633
10029,130030,633
20037,50050,633
30642,50050,633
10020,03001x,632
30920,40040,632
10025,50050,631
10059,40040,631
20083,20110,631
30439,60100,631
10011,40040,630
10031,20110,630
30062,60100,630
30956,20110,630
31157,60100,630
20030,20110,629
30516,50050,629
30641,40040,629
10035,40040,628
31027,10060,628
20042,40040,627
20112,50130,627
30763,03001x,627
31043,20110,627
10047,60100,626
20021,40040,625
20112,50080,625
31344,40040,624
90101,60100,624
20089,40040,623
30990,60100,623
31192,40040,623
30056,20110,621
30112,40040,621
20043,120010,620
1908,60100,619
20003,60100,619
3178,70350,618
20058,50050,618
10058,60100,617
30028,10060,617
30758,60100,617
10057,12002x,616
20023,140010,616
20078,60050,616
20116,50050,616
20152,40040,616
31186,60100,616
2892,60100,614
20034,50130,614
20088,50130,614
658,50050,613
10052,12002x,613
10056,06007x,612
10071,40040,612
20005,40040,612
20007,40040,612
20137,40040,612
313,20110,611
31080,20110,611
10060,20110,610
20010,40040,610
20016,40040,610
30064,50050,610
1298,40040,609
10001,60040,609
20080,50130,609
31408,20110,609
31447,50070,609
10050,20110,608
10061,06007x,608
20055,50070,608
10011,140010,607
10066,20220,607
10057,90010,606
20040,50050,606
3091,20200,604
10028,20110,604
10057,40040,604
20097,40040,604
30362,40040,604
30490,20110,603
31138,50130,603
30254,20110,602
30454,40040,602
30322,60100,601
20106,100000,601
20047,60050,600
20104,40040,599
20118,40040,598
31182,10060,598
30168,20110,597
20047,50050,596
20078,60035,596
20027,90010,595
20136,50050,595
10012,50050,594
10020,110080,594
20008,10060,594
20016,50070,594
30661,50050,594
10062,20110,593
20154,50050,593
30250,12002x,593
30538,60050,593
2496,60241,592
10021,50050,592
20030,60340,592
30547,60040,592
30967,50050,592
10027,40040,591
20074,50050,591
20088,50050,591
90219,60100,591
30279,12002x,590
30429,11012x,590
20093,50050,589
20114,20110,589
2554,10060,588
10036,40040,588
20047,40040,588
30427,60035,588
2941,20110,587
10082,03001x,587
30082,40040,587
30763,60010,587
3174,70350,585
20090,20110,585
20102,50070,585
30967,20110,585
10042,40040,584
20123,60340,584
2335,90010,583
10031,40040,583
30296,50050,583
30915,50050,583
261,10000,583
10081,12002x,582
20075,50050,582
30760,50050,582
90200,50070,582
20150,40040,581
90159,60100,581
30413,100130,580
31500,40040,580
90198,50070,580
30570,60020,579
30902,20110,579
10018,40040,578
30933,40081,578
10023,60100,577
20073,40040,577
10073,20110,576
30258,20110,576
30273,50050,576
10024,20110,575
20127,90010,575
20023,06007x,574
20041,90010,574
20123,10060,574
30545,10060,574
30857,60100,574
31161,110280,574
10070,40040,573
20123,50070,573
30538,60010,573
90133,40000,573
10054,60050,572
30079,50050,572
10039,60050,571
20115,50070,571
30994,60100,571
31253,120010,571
10075,20110,570
20064,40040,570
31050,50130,570
20115,50170,569
20152,10060,569
30013,40040,569
90016,10060,569
30026,50050,568
30845,20110,568
31069,70470,568
1577,60241,567
2783,140010,567
10030,20110,567
10022,12002x,566
30131,60100,566
30763,06007x,566
90195,10230,566
20031,50050,563
20040,90010,563
30354,50050,563
10055,60050,562
20144,50050,562
30172,40040,562
31514,110310,562
1923,07040x,561
10033,20220,561
30136,40040,561
30325,40040,561
30763,90010,561
10003,20110,560
20089,140010,560
30030,60020,560
20104,40000,560
10005,20110,559
10056,100000,559
10033,90010,558
20108,60035,558
20133,50050,558
1169,50050,557
10013,100000,557
20058,40040,556
30005,60050,556
30223,20110,556
30781,60100,556
20030,110080,555
20078,60040,555
20117,40040,555
10012,12002x,554
20069,20110,554
30212,20110,554
30640,40040,554
1991,60100,553
31107,20110,553
31167,60100,553
10002,20220,552
10054,12002x,552
20078,120010,552
20146,60100,552
30499,60100,552
31446,40040,552
10007,20220,551
20123,60020,551
10065,20110,550
20078,90010,550
20113,50050,550
30641,20110,550
30978,60100,550
2891,110050,549
10033,60020,549
10037,40040,549
20076,50130,549
20129,90010,549
30769,60100,549
31322,20110,549
20028,60020,548
20076,50070,548
20078,06007x,548
2513,120260,547
10024,10030,547
20091,50050,547
10053,110070,546
20052,70041,546
20101,50050,546
20114,140010,546
30986,50130,546
30986,60100,546
10066,60100,545
20026,10030,545
30290,50050,545
30538,03001x,545
20045,140010,544
30014,40040,544
30425,40040,544
30796,40040,544
31156,40040,543
10067,40040,542
20075,60100,542
30326,40040,542
30914,100000,542
1709,60100,541
10033,06007x,541
10046,110080,541
10073,60050,541
20069,40040,541
30499,10010,541
30636,50050,541
20119,40040,540
30255,20110,540
30292,20110,540
30993,60035,540
